Date,dt,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,,
"Jan 14, 2019",14/01/2019,68.67,69.78,70.61,68.58,269.57K,-2.07%,,,14/01/2019,,70.61,,68.67,,,,,,,,,,
"Jan 15, 2019",15/01/2019,69.76,68.8,70.77,68.18,168.12K,1.59%,,,15/01/2019,,70.77,,69.76,,,,,,,,,,
"Jan 16, 2019",16/01/2019,70.32,70.11,70.8,68.71,248.16K,0.80%,,,16/01/2019,,70.8,,70.32,,,,,,,,,,
"Jan 17, 2019",17/01/2019,70.55,70.3,71.72,69.86,407.27K,0.33%,,,17/01/2019,,71.72,,70.55,,,,,,,,,,
"Jan 18, 2019",18/01/2019,72.7,71.13,73.64,70.21,494.55K,3.05%,,,18/01/2019,,73.64,,72.7,,,,,,,,,,
"Jan 22, 2019",22/01/2019,71,72.02,72.5,70.37,341.48K,-2.34%,,,22/01/2019,,72.5,,71,,,,,,,,,,
"Jan 23, 2019",23/01/2019,70.9,71.46,73.52,69.67,259.74K,-0.14%,,,23/01/2019,,73.52,,70.9,,,,,,,,,,
"Jan 24, 2019",24/01/2019,72,70.91,73.01,69.61,367.83K,1.55%,,,24/01/2019,,73.01,,72,,,,,,,,,,
"Jan 25, 2019",25/01/2019,72.1,72.39,73.23,71.73,386.25K,0.14%,,,25/01/2019,,73.23,,72.1,,,,,,,,,,
"Jan 28, 2019",28/01/2019,70.55,71.55,72.06,69.86,331.82K,-2.15%,,,28/01/2019,,72.06,,70.55,,,,,,,,,,
"Jan 29, 2019",29/01/2019,72.52,70.51,72.7,70.3,263.84K,2.79%,,,29/01/2019,,72.7,,72.52,,,,,,,,,,
"Jan 30, 2019",30/01/2019,74.72,73.1,74.77,71.47,312.53K,3.03%,,,30/01/2019,,74.77,,74.72,,,,,,,,,,
"Jan 31, 2019",31/01/2019,75.81,74.61,75.96,72.28,365.18K,1.46%,,,31/01/2019,,75.96,,75.81,,,,,,,,,,
"Feb 01, 2019",01/02/2019,76.19,75.77,77.69,74.5,310.26K,0.50%,,,01/02/2019,,77.69,,76.19,,,,,,,,,,
