Date,dt,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,,
"Sep 03, 2019",03/09/2019,73.87,76,76.48,73.84,429.00K,-3.64%,,,03/09/2019,,76.48,,73.87,,,,,,,,,,
"Sep 04, 2019",04/09/2019,75.17,74.19,75.26,73.51,258.70K,1.76%,,,04/09/2019,,75.26,,75.17,,,,,,,,,,
"Sep 05, 2019",05/09/2019,75.44,75.31,75.72,74.85,376.32K,0.36%,,,05/09/2019,,75.72,,75.44,,,,,,,,,,
"Sep 06, 2019",06/09/2019,74.35,75.68,75.73,74.32,234.39K,-1.44%,,,06/09/2019,,75.73,,74.35,,,,,,,,,,
"Sep 09, 2019",09/09/2019,71.74,74.64,75,71.62,604.68K,-3.51%,,,09/09/2019,,75,,71.74,,,,,,,,,,
"Sep 10, 2019",10/09/2019,72.61,72,72.61,71.08,556.04K,1.21%,,,10/09/2019,,72.61,,72.61,,,,,,,,,,
"Sep 11, 2019",11/09/2019,72.98,72.63,73.93,72.24,352.92K,0.51%,,,11/09/2019,,73.93,,72.98,,,,,,,,,,
"Sep 12, 2019",12/09/2019,72.67,73.17,73.27,72.55,181.96K,-0.42%,,,12/09/2019,,73.27,,72.67,,,,,,,,,,
"Sep 13, 2019",13/09/2019,71.72,72.81,73.18,71.66,208.32K,-1.31%,,,13/09/2019,,73.18,,71.72,,,,,,,,,,
"Sep 16, 2019",16/09/2019,71.51,71.49,72.07,69.69,338.87K,-0.29%,,,16/09/2019,,72.07,,71.51,,,,,,,,,,
"Sep 17, 2019",17/09/2019,71.37,71.38,71.91,71.23,439.05K,-0.20%,,,17/09/2019,,71.91,,71.37,,,,,,,,,,
"Sep 18, 2019",18/09/2019,71.12,71.47,71.52,70.69,373.17K,-0.35%,,,18/09/2019,,71.52,,71.12,,,,,,,,,,
"Sep 19, 2019",19/09/2019,70.8,71.28,71.58,70.74,276.89K,-0.45%,,,19/09/2019,,71.58,,70.8,,,,,,,,,,
"Sep 20, 2019",20/09/2019,70.97,70.8,71.38,70.49,1.39M,0.24%,,,20/09/2019,,71.38,,70.97,,,,,,,,,,
"Sep 23, 2019",23/09/2019,71.1,71.14,73.45,70.91,347.31K,0.18%,,,23/09/2019,,73.45,,71.1,,,,,,,,,,
"Sep 24, 2019",24/09/2019,70.24,71.32,71.64,70.09,320.01K,-1.21%,,,24/09/2019,,71.64,,70.24,,,,,,,,,,
"Sep 25, 2019",25/09/2019,69.92,70,70.45,69.81,363.24K,-0.46%,,,25/09/2019,,70.45,,69.92,,,,,,,,,,
"Sep 26, 2019",26/09/2019,70.36,70.02,71.34,70.02,271.41K,0.63%,,,26/09/2019,,71.34,,70.36,,,,,,,,,,
"Sep 27, 2019",27/09/2019,68.65,70.4,70.87,68.45,375.72K,-2.43%,,,27/09/2019,,70.87,,68.65,,,,,,,,,,
"Sep 30, 2019",30/09/2019,67.82,68.61,68.89,67.64,343.07K,-1.21%,,,30/09/2019,,68.89,,67.82,,,,,,,,,,
"Oct 01, 2019",01/10/2019,67.28,67.93,68.72,67.26,276.86K,-0.80%,,,01/10/2019,,68.72,,67.28,,,,,,,,,,
"Oct 02, 2019",02/10/2019,66.71,67.08,67.08,66.08,320.62K,-0.85%,,,02/10/2019,,67.08,,66.71,,,,,,,,,,
"Oct 03, 2019",03/10/2019,68.61,66.72,68.79,66.32,326.57K,2.85%,,,03/10/2019,,68.79,,68.61,,,,,,,,,,
"Oct 04, 2019",04/10/2019,69.02,68.57,69.29,68.15,176.76K,0.60%,,,04/10/2019,,69.29,,69.02,,,,,,,,,,
"Oct 07, 2019",07/10/2019,68.81,68.9,69.42,68.18,333.71K,-0.30%,,,07/10/2019,,69.42,,68.81,,,,,,,,,,
"Oct 08, 2019",08/10/2019,67.56,68.49,68.55,67.4,640.15K,-1.82%,,,08/10/2019,,68.55,,67.56,,,,,,,,,,
"Oct 09, 2019",09/10/2019,68.16,68.1,68.96,67.94,183.21K,0.89%,,,09/10/2019,,68.96,,68.16,,,,,,,,,,
"Oct 10, 2019",10/10/2019,67.9,68.12,68.63,67.77,154.60K,-0.38%,,,10/10/2019,,68.63,,67.9,,,,,,,,,,
"Oct 11, 2019",11/10/2019,68.74,68.5,69.47,68.03,455.76K,1.24%,,,11/10/2019,,69.47,,68.74,,,,,,,,,,
"Oct 14, 2019",14/10/2019,69.76,68.64,70.44,68.64,255.65K,1.48%,,,14/10/2019,,70.44,,69.76,,,,,,,,,,
"Oct 15, 2019",15/10/2019,71.32,69.95,71.5,69.95,548.56K,2.24%,,,15/10/2019,,71.5,,71.32,,,,,,,,,,
"Oct 16, 2019",16/10/2019,70.68,71.16,71.33,70.55,191.48K,-0.90%,,,16/10/2019,,71.33,,70.68,,,,,,,,,,
"Oct 17, 2019",17/10/2019,70.59,70.86,71.14,70.37,307.10K,-0.13%,,,17/10/2019,,71.14,,70.59,,,,,,,,,,
"Oct 18, 2019",18/10/2019,70.16,70.48,70.77,69.66,308.87K,-0.61%,,,18/10/2019,,70.77,,70.16,,,,,,,,,,
"Oct 21, 2019",21/10/2019,69.04,70.67,70.67,68.89,180.69K,-1.60%,,,21/10/2019,,70.67,,69.04,,,,,,,,,,
"Oct 22, 2019",22/10/2019,67.33,69.35,69.98,67.23,182.88K,-2.48%,,,22/10/2019,,69.98,,67.33,,,,,,,,,,
"Oct 23, 2019",23/10/2019,66.86,67.19,68.08,66.53,339.29K,-0.70%,,,23/10/2019,,68.08,,66.86,,,,,,,,,,
"Oct 24, 2019",24/10/2019,67.49,67.17,67.98,66.82,230.39K,0.94%,,,24/10/2019,,67.98,,67.49,,,,,,,,,,
"Oct 25, 2019",25/10/2019,67.86,67.4,68.58,67.16,385.23K,0.55%,,,25/10/2019,,68.58,,67.86,,,,,,,,,,
"Oct 28, 2019",28/10/2019,69.02,68.15,69.52,67.39,428.61K,1.71%,,,28/10/2019,,69.52,,69.02,,,,,,,,,,
"Oct 29, 2019",29/10/2019,68.13,68.82,69.2,67.61,809.67K,-1.29%,,,29/10/2019,,69.2,,68.13,,,,,,,,,,
"Oct 30, 2019",30/10/2019,65.4,67.36,67.67,64.88,982.79K,-4.01%,,,30/10/2019,,67.67,,65.4,,,,,,,,,,
"Oct 31, 2019",31/10/2019,66.68,65.7,66.95,65.03,1.04M,1.96%,,,31/10/2019,,66.95,,66.68,,,,,,,,,,
"Nov 01, 2019",01/11/2019,68.01,67.04,68.12,66.42,398.92K,1.99%,,,01/11/2019,,68.12,,68.01,,,,,,,,,,
"Nov 04, 2019",04/11/2019,67.19,68.55,68.55,66.98,548.22K,-1.21%,,,04/11/2019,,68.55,,67.19,,,,,,,,,,
"Nov 05, 2019",05/11/2019,65.41,66.5,67.29,64.94,773.76K,-2.65%,,,05/11/2019,,67.29,,65.41,,,,,,,,,,
"Nov 06, 2019",06/11/2019,63.88,65.55,65.55,63.76,545.87K,-2.34%,,,06/11/2019,,65.55,,63.88,,,,,,,,,,
"Nov 07, 2019",07/11/2019,63.44,63.88,64.57,62.74,12.54M,-0.69%,,,07/11/2019,,64.57,,63.44,,,,,,,,,,
