"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","1.410","1.410","1.470","1.330","271.00K","-1.40%"
"Nov 20, 2019","1.430","1.520","1.590","1.420","156.84K","-4.03%"
"Nov 19, 2019","1.490","1.380","1.500","1.380","110.02K","8.76%"
"Nov 18, 2019","1.370","1.510","1.560","1.350","317.10K","-8.67%"
"Nov 15, 2019","1.500","1.560","1.610","1.490","141.87K","0.00%"
"Nov 14, 2019","1.500","1.670","1.700","1.470","429.29K","-9.09%"
"Nov 13, 2019","1.650","1.760","1.870","1.570","333.11K","-12.23%"
"Nov 12, 2019","1.880","2.080","2.180","1.850","195.62K","-8.74%"
"Nov 11, 2019","2.060","2.150","2.150","1.910","114.57K","3.00%"
"Nov 08, 2019","2.000","2.050","2.170","1.960","141.88K","0.50%"
"Nov 07, 2019","1.990","1.960","2.250","1.920","105.26K","3.65%"
"Nov 06, 2019","1.920","1.970","2.050","1.920","72.30K","-2.54%"
"Nov 05, 2019","1.970","2.000","2.020","1.890","70.06K","0.00%"
"Nov 04, 2019","1.970","2.010","2.020","1.920","93.22K","2.60%"
"Nov 01, 2019","1.920","2.140","2.210","1.820","258.37K","-9.00%"
"Oct 31, 2019","2.110","2.060","2.220","2.050","149.23K","2.43%"
"Oct 30, 2019","2.060","2.010","2.100","2.010","40.97K","3.00%"
"Oct 29, 2019","2.000","2.110","2.110","1.960","100.15K","-5.21%"
"Oct 28, 2019","2.110","2.110","2.170","2.050","88.13K","1.44%"
"Oct 25, 2019","2.080","2.100","2.160","2.050","76.95K","-0.95%"
"Oct 24, 2019","2.100","2.240","2.240","2.080","113.31K","-5.83%"
"Oct 23, 2019","2.230","2.330","2.340","2.190","77.01K","-2.19%"
"Oct 22, 2019","2.280","2.200","2.310","2.150","126.67K","4.11%"
"Oct 21, 2019","2.190","2.230","2.270","2.170","85.16K","-0.45%"
"Oct 18, 2019","2.200","2.170","2.220","2.040","79.77K","0.46%"
"Oct 17, 2019","2.190","2.190","2.220","2.080","113.68K","0.92%"
"Oct 16, 2019","2.170","2.130","2.240","2.090","108.23K","1.88%"
"Oct 15, 2019","2.130","1.950","2.190","1.950","167.41K","9.79%"
"Oct 14, 2019","1.940","1.900","1.990","1.850","71.75K","1.04%"
"Oct 11, 2019","1.920","1.810","2.000","1.810","144.37K","6.67%"
"Oct 10, 2019","1.800","1.770","1.850","1.730","106.24K","2.86%"
"Oct 09, 2019","1.750","1.650","1.850","1.640","215.55K","6.71%"
"Oct 08, 2019","1.640","1.780","1.780","1.610","189.71K","-7.34%"
"Oct 07, 2019","1.770","1.810","1.870","1.710","312.90K","-2.21%"
"Oct 04, 2019","1.810","1.910","1.910","1.710","365.38K","-4.23%"
"Oct 03, 2019","1.890","1.910","1.950","1.810","210.19K","-0.53%"
"Oct 02, 2019","1.900","1.800","2.050","1.720","380.38K","11.11%"
"Oct 01, 2019","1.710","1.740","1.930","1.700","225.27K","-0.58%"
"Sep 30, 2019","1.720","1.850","1.850","1.690","296.85K","-6.52%"
"Sep 27, 2019","1.840","1.840","1.910","1.770","227.43K","1.10%"
"Sep 26, 2019","1.820","2.030","2.100","1.790","443.98K","-8.08%"
"Sep 25, 2019","1.980","2.070","2.100","1.920","243.74K","-4.35%"
"Sep 24, 2019","2.070","2.250","2.260","2.010","353.17K","-7.59%"
"Sep 23, 2019","2.240","2.350","2.350","2.210","228.42K","-2.61%"
"Sep 20, 2019","2.300","2.420","2.470","2.300","578.15K","-4.96%"
"Sep 19, 2019","2.420","2.540","2.580","2.350","1.57M","-4.72%"
"Sep 18, 2019","2.540","2.670","2.690","2.510","386.95K","-4.15%"
"Sep 17, 2019","2.650","2.700","2.740","2.530","854.62K","-2.21%"
"Sep 16, 2019","2.710","2.620","2.810","2.620","986.33K","3.44%"
"Sep 13, 2019","2.620","2.720","2.770","2.550","249.59K","-2.96%"
"Sep 12, 2019","2.700","2.950","2.970","2.640","513.40K","-9.09%"
"Sep 11, 2019","2.970","3.170","3.200","2.970","455.00K","-6.60%"
"Sep 10, 2019","3.180","3.200","3.320","3.050","233.98K","-1.85%"
"Sep 09, 2019","3.240","3.230","3.260","2.900","1.02M","-2.70%"
"Sep 06, 2019","3.330","3.580","4.250","3.140","20.36M","14.43%"
"Sep 05, 2019","2.910","2.700","2.920","2.600","154.85K","14.12%"
"Sep 04, 2019","2.550","2.670","2.700","2.530","16.73K","3.66%"
"Sep 03, 2019","2.460","2.660","2.810","2.450","79.34K","-8.55%"
"Aug 30, 2019","2.690","2.640","2.870","2.580","41.97K","3.07%"
"Aug 29, 2019","2.610","2.530","2.640","2.480","49.02K","4.40%"
"Aug 28, 2019","2.500","2.340","2.570","2.300","68.87K","7.30%"
"Aug 27, 2019","2.330","2.500","2.520","2.320","78.06K","-6.43%"
"Aug 26, 2019","2.490","2.500","2.550","2.330","64.69K","1.22%"
"Aug 23, 2019","2.460","2.550","2.580","2.230","191.31K","-3.91%"
"Aug 22, 2019","2.560","2.770","2.770","2.470","96.90K","-7.58%"
"Aug 21, 2019","2.770","2.840","2.870","2.730","80.32K","-1.42%"
"Aug 20, 2019","2.810","2.970","3.030","2.730","122.85K","-5.07%"
"Aug 19, 2019","2.960","2.930","3.010","2.780","57.06K","2.07%"
"Aug 16, 2019","2.900","2.820","3.010","2.790","115.86K","3.20%"
"Aug 15, 2019","2.810","2.630","2.880","2.560","203.95K","6.84%"
"Aug 14, 2019","2.630","2.580","2.690","2.480","226.58K","-1.13%"
"Aug 13, 2019","2.660","2.360","2.710","2.320","207.64K","11.30%"
"Aug 12, 2019","2.390","2.400","2.480","2.310","100.72K","-0.42%"
