Date,Open,High,Low,Close,Volume
19/07/2017,$27.96,$28.63,$27.77,$28.23,1811495
18/07/2017,$27.26,$27.66,$26.74,$27.62,1523778
17/07/2017,$27.40,$27.98,$27.12,$27.31,1063402
14/07/2017,$27.34,$27.75,$26.87,$27.26,2432101
13/07/2017,$28.50,$28.55,$27.64,$28.06,1952205
12/07/2017,$28.00,$28.60,$27.16,$28.03,2373830
11/07/2017,$27.80,$28.53,$27.52,$27.89,1674104
10/07/2017,$29.03,$29.10,$27.91,$28.15,1593290
07/07/2017,$30.01,$30.11,$28.91,$29.11,1666339
06/07/2017,$30.75,$31.11,$29.36,$29.61,1819469
05/07/2017,$29.30,$31.53,$29.09,$31.24,2269796
03/07/2017,$30.00,$30.20,$29.17,$29.25,885720
30/06/2017,$30.21,$30.27,$29.11,$29.89,1444644
29/06/2017,$31.26,$31.97,$30.06,$30.21,1754091
28/06/2017,$29.60,$31.73,$29.55,$31.36,2494424
27/06/2017,$29.74,$31.26,$29.25,$29.34,3553206
26/06/2017,$29.31,$29.80,$28.59,$29.70,2572867
23/06/2017,$27.00,$29.25,$26.62,$29.00,3702982
22/06/2017,$26.67,$27.88,$26.59,$26.98,3012051
21/06/2017,$24.70,$26.66,$24.52,$26.43,3535472
20/06/2017,$24.45,$25.23,$24.13,$24.66,2411120
19/06/2017,$23.37,$24.36,$23.25,$24.20,1560675
16/06/2017,$22.41,$23.35,$22.19,$23.29,1727044
15/06/2017,$22.73,$23.31,$22.42,$22.52,893482
14/06/2017,$22.59,$23.34,$22.49,$23.13,947574
13/06/2017,$22.48,$22.78,$22.11,$22.59,1052231
12/06/2017,$21.59,$22.84,$21.35,$22.30,1781622
09/06/2017,$22.36,$22.48,$21.02,$21.68,3103672
08/06/2017,$22.70,$23.38,$22.33,$22.36,3435491
07/06/2017,$24.30,$24.78,$22.73,$23.73,3815934
06/06/2017,$23.91,$24.70,$23.51,$24.20,2854265
05/06/2017,$26.83,$27.18,$23.18,$23.40,5529934
02/06/2017,$24.78,$26.45,$24.14,$26.21,2396086
01/06/2017,$23.34,$24.95,$23.33,$24.50,2467364
31/05/2017,$23.21,$23.47,$22.71,$23.23,1314009
30/05/2017,$23.65,$23.74,$22.73,$23.11,1499924
26/05/2017,$25.43,$25.45,$23.18,$23.30,2608359
25/05/2017,$25.51,$26.22,$25.20,$25.52,1612615
24/05/2017,$24.89,$25.44,$24.51,$25.33,906507
23/05/2017,$24.11,$24.89,$24.05,$24.80,839717
22/05/2017,$23.77,$24.26,$23.55,$24.07,887182
19/05/2017,$25.06,$25.64,$23.61,$23.64,1281512
18/05/2017,$24.43,$25.20,$24.10,$25.00,1766016
17/05/2017,$25.87,$26.12,$24.51,$24.52,1831548
16/05/2017,$25.48,$26.60,$25.27,$26.35,1742075
15/05/2017,$24.17,$25.89,$24.17,$25.37,2058216
12/05/2017,$22.54,$24.28,$22.54,$24.12,1858685
11/05/2017,$22.89,$22.95,$22.04,$22.59,1358520
10/05/2017,$23.49,$23.59,$22.81,$22.89,1214397
09/05/2017,$22.33,$23.68,$22.12,$23.58,1843159
